"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","155","Authentication > AUTH-01 Login page opens from navigation","chromium","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","104","User Profile > PROF-01 Profile page opens","chromium","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","123","Cart > CART-01 Cart opens from navigation","chromium","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","25","User Profile > PROF-11 Profile link remains available","chromium","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","172","API Internal > API-15 API remains available after reload","chromium","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","86","User Profile > PROF-08 Profile storage has phone number","webkit","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","54","Persistence > PERS-11 Last order can be stored","chromium","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","1830","Address Shipping > SHIP-09 Valid address saves","webkit","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","29","API Internal > API-12 API product shape has category","chromium","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","102","User Profile > PROF-04 Email field is editable","chromium","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","237","Authentication > AUTH-05 Valid login succeeds","chromium","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","43","Product > PROD-12 Add to cart button is visible","firefox","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","556","Persistence > PERS-07 Login state survives reload","webkit","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","1211","Address Shipping > SHIP-13 Returning to cart from nav works","webkit","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","40","Authentication > AUTH-09 Current user is stored","firefox","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","30","API Internal > API-06 Cart API includes product id","chromium","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","459","Persistence > PERS-11 Last order can be stored","webkit","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","196","Persistence > PERS-07 Login state survives reload","chromium","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","76","Payment > PAY-09 Payment stores last order","firefox","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","1245","Customer Support > SUP-07 Incomplete support ticket validates","webkit","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","39","Payment > PAY-09 Payment stores last order","chromium","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","4402","Authentication > AUTH-11 Signup path creates account","webkit","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","85","Product > PROD-02 Product list has three items","firefox","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","181","Persistence > PERS-15 Persisted profile name displays after login","firefox","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","77","Customer Support > SUP-06 Support priority can be high","firefox","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","300","User Profile > PROF-07 Load profile button restores saved values","firefox","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
